month,product_id,product_name,atc_code,region,total_units,total_sales,avg_unit_price,promo_days
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,East Midlands,29,98.50999999999999,3.31,0
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,East of England,16,56.46,3.515,0
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,London,33,115.96000000000001,3.468,1
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,North East,43,141.98,3.3407692307692307,2
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,North West,11,35.13,3.2275,0
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,Scotland,27,100.35,3.683,0
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,South East,46,160.26999999999998,3.4814285714285718,0
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,South West,41,135.4,3.380666666666667,1
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,West Midlands,37,134.41,3.569090909090909,0
2020-01-01,GEN-45,Generic Painkiller 45,N02BE/B,Yorkshire & Humber,17,53.58,3.2671428571428573,1
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,East Midlands,31,108.87,3.5009090909090905,1
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,East of England,49,163.41,3.369047619047619,5
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,London,34,121.79,3.558,0
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,North East,30,101.33,3.379,1
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,North West,22,72.18,3.30375,1
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,Scotland,31,107.53999999999999,3.453333333333333,2
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,South East,59,199.11,3.41,1
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,South West,47,161.63,3.463076923076923,1
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,West Midlands,26,90.57,3.53,0
2020-01-01,GEN-46,Generic Painkiller 46,N02BE/B,Yorkshire & Humber,29,96.18,3.3723076923076927,2
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,East Midlands,6,20.29,3.3833333333333333,0
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,East of England,45,156.49,3.487142857142857,0
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,London,29,100.58,3.517272727272727,0
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,North East,27,96.13,3.535,0
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,North West,33,109.11,3.395,3
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,Scotland,25,83.47,3.3400000000000003,1
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,South East,40,133.57999999999998,3.356666666666667,2
